DepartmentID,DepartmentNM,DepartmentSpecialtyDSC,ICU,FirstICUDate,LastICUDate
10302006,EPC DERMATOLOGY,Pediatric Dermatology,No,,
10302007,EPC DEVELOPMENTAL PEDS,Developmental and Behavioral Pediatrics,No,,
10302008,EPC ENDOCRINOLOGY,Pediatric Endocrinology,No,,
10302009,EPC OTOLARYNGOLOGY,Pediatric Otolaryngology,No,,
10302010,EPC GASTROENTEROLOGY,Pediatric Gastroenterology,No,,
10302011,EPC GENETICS,Pediatric Genetics,No,,
10302012,EPC INFECTIOUS DISEASE,Pediatric Infectious Disease,No,,
10302013,EPC NEONATOLOGY,Neonatology,No,,
10302014,EPC NEPHROLOGY,Pediatric Nephrology,No,,
10302015,EPC NEUROLOGY,Pediatric Neurology,No,,
10302016,EPC NEUROSURGERY,Pediatric Neurosurgery,No,,
10302017,EPC OCC THERAPY,Pediatric Occupational Therapy,No,,
10302018,EPC ONCOLOGY,Pediatric Oncology,No,,
10302019,EPC OPHTHALMOLOGY,Pediatric Ophthalmology,No,,
10302020,EPC ORTHOPEDICS,Pediatric Orthopedics,No,,
10302021,EPC PEDIATRIC SURGERY,Pediatric Surgery,No,,
10302022,EPC GENERAL PEDIATRICS,Pediatrics,No,,
10302023,EPC PHYS MED & REHAB,Pediatric Physical Medicine and Rehabilitation,No,,
10302024,EPC PHYSICAL THERAPY,Pediatric Physical Therapy,No,,
10302025,EPC PLASTIC SURGERY,Pediatric Plastic Surgery,No,,
10302026,EPC PSYCHIATRY,Pediatric Psychiatry,No,,
10302027,EPC PULMONARY,Pediatric Pulmonology,No,,
10302028,EPC XR,Pediatric Radiology,No,,
10302029,EPC RADIATION ONCOLOGY,Pediatric Radiation Oncology,No,,
10302030,EPC RHEUMATOLOGY,Pediatric Rheumatology,No,,
10302031,EPC SOCIAL WORK,Pediatric Social Services,No,,
10302032,EPC SPEECH PATHOLOGY,Pediatric Speech Therapy,No,,
10302033,EPC UROLOGY,Pediatric Urology,No,,
10501100,EMC CARDIOLOGY,Cardiology,No,,
10501101,EMC FAMILY MEDICINE,Family Medicine,No,,
10501102,EMC GASTROENTEROLOGY,Gastroenterology,No,,
10501103,EMC OPHTHALMOLOGY,,No,,
10501104,EMC ORTHOPEDICS,Orthopedics,No,,
10501105,EMC PRENATAL CLINIC,Obstetrics and Gynecology,No,,
10501107,EMC CLINIC LAB,Lab,No,,
10501108,EMC ADMIN,,No,,
10501109,EMC HEALTH INFO MGMT,,No,,
10501110,EMC PSYCHIATRY,Psychiatry,No,,
10501111,EMC PEDIATRICS,Pediatrics,No,,
10501114,EMC PED OPHTHALMOLOGY,Pediatric Ophthalmology,No,,
10501115,EMC TRANSPLANT,Transplant,No,,
10501116,EMC URGENT CARE,Urgent Care,No,,
10501117,EMC ALLERGY,Allergy,No,,
10501118,EMC BURN,Burn Surgery,No,,
10501119,EMC CARDIOTHORACIC SURGERY,Cardiothoracic Surgery,No,,
10501120,EMC CHILD PSYCHIATRY,Child and Adolescent Psychiatry,No,,
10501121,EMC DERMATOLOGY,Dermatology,No,,
10501122,EMC DEVELOPMENTAL,Developmental and Behavioral Pediatrics,No,,
10501123,EMC ENDOCRINOLOGY,Endocrinology,No,,
10501124,EMC ENT-OTOLARYNGOLOGY,Otolaryngology,No,,
10501125,EMC GENERAL SURGERY,General Surgery,No,,
10501126,EMC GENETICS,Genetics,No,,
10501127,EMC GERONTOLOGY,Gerontology,No,,
10501128,EMC GYNECOLOGY,Gynecology,No,,
10501129,EMC INFECTIOUS DISEASE,Infectious Diseases,No,,
10501130,EMC PED CARDIOLOGY,Pediatric Cardiology,No,,
10501131,EMC NEONATOLOGY,Neonatology,No,,
10501132,EMC NEPHROLOGY,Nephrology,No,,
10501133,EMC NEUROLOGY,Neurology,No,,
10501134,EMC NEUROSURGERY,Neurosurgery,No,,
10501135,EMC OCCUP THERAPY,Occupational Therapy,No,,
10501136,EMC ONCOLOGY,Medical Oncology,No,,
10501137,EMC PAIN MANAGEMENT,Pain Medicine,No,,
10501138,EMC PATHOLOGY,Pathology,No,,
10501139,EMC PHYS MED & REHAB,Physical Medicine and Rehabilitation,No,,
10501140,EMC PHYSICAL THERAPY,Physical Therapy,No,,
10501141,EMC PLASTIC SURGERY,Plastic Surgery,No,,
10501142,EMC PULMONARY,Pulmonology,No,,
10501143,EMC RHEUMATOLOGY,Rheumatology,No,,
10501145,EMC SPEECH PATHOLOGY,Speech Therapy,No,,
10501146,EMC SPORTS MEDICINE,Sports Medicine,No,,
10501147,EMC UROLOGY,Urology,No,,
10501148,EMC VASCULAR SURGERY,Vascular Surgery,No,,
10501149,EMC INTERNAL MEDICINE,Internal Medicine,No,,
10501150,EMC AUDIOLOGY,Audiology,No,,
10501151,EMC PED GASTROENTEROLOGY,Pediatric Gastroenterology,No,,
10501152,EMC PED GENERAL SURGERY,Pediatric Surgery,No,,
10501153,EMC PED TRANSPLANT,Transplant,No,,
10501154,EMC PED URGENT CARE,Pediatric Emergency Medicine,No,,
10501155,EMC PED PULMONARY,Pediatric Pulmonology,No,,
10501156,EMC PED ALLERGY,Pediatric Allergy,No,,
10501157,EMC PED CARDIOTHORACIC SURGERY,Pediatric Cardiothoracic Surgery,No,,
10501158,EMC PED ENDOCRINOLOGY,Pediatric Endocrinology,No,,
10501159,EMC PED ENT-OTOLARYNGOLOGY,Pediatric Otolaryngology,No,,
10501160,EMC PED GENETICS,Pediatric Genetics,No,,
10501161,EMC PED INFECTIOUS DISEASES,Pediatric Infectious Disease,No,,
10501162,EMC PED NEPHROLOGY,Pediatric Nephrology,No,,
10501163,EMC PED NEUROLOGY,Pediatric Neurology,No,,
10501164,EMC PED NEUROSURGERY,Pediatric Neurosurgery,No,,
10501165,EMC PED ONCOLOGY,Pediatric Oncology,No,,
10501166,EMC PED ORTHOPEDICS,Pediatric Orthopedics,No,,
10501167,EMC PED PHYS MED & REHAB,Pediatric Physical Medicine and Rehabilitation,No,,
10501168,EMC PED PLASTIC SURGERY,Plastic Surgery,No,,
10501169,EMC PED RHEUMATOLOGY,Pediatric Rheumatology,No,,
10501170,EMC PED SPORTS MEDICINE,Sports Medicine,No,,
10501171,EMC PED UROLOGY,Pediatric Urology,No,,
10501172,EMC WOUND,Wound Care,No,,
10501173,EMC X-RAY IMAGING,Radiology,No,,
10501174,EMC CT IMAGING,Radiology,No,,
10501175,EMC BREAST IMAGING,Radiology,No,,
10501176,EMC DXA IMAGING,Radiology,No,,
10501177,EMC US IMAGING,Radiology,No,,
10501178,EMC NUCLEAR MEDICINE,Radiology,No,,
10501179,EMC MRI IMAGING,Radiology,No,,
10501180,EMC PRESCRIPTION NORTH,,No,,
10501181,EMC PHX ABD TXP,Transplant,No,,
10501182,EMC BARIATRIC SURGERY,Bariatrics,No,,
10501183,EMC RADIATION ONCOLOGY,Radiation Oncology,No,,
10501184,EMC PRESCRIPTION CENTR,,No,,
10501185,EMH OB ULTRASOUND,Obstetrics,No,,
10501186,EMC PRESCRIPTION SOUTH,,No,,
10501187,EMC MAIL ORDER,,No,,
10501190,EMC EW FAMILY PRAC,Family Medicine,No,,
10501191,EMC DENTISTRY,Dentistry,No,,
10501194,EMC OPH SUBSPECIALTIES,Ophthalmology,No,,
10501197,EMC FERTILITY CLINIC,Obstetrics and Gynecology,No,,
10501198,EMC CHIROPRACTIC,Chiropractic Medicine,No,,
10501199,EMC PODIATRY,Podiatry,No,,
10501200,EMC CENTRAL LAB,Lab,No,,
10501201,EMC CHEMO INFUSION,Medical Oncology,No,,
10501205,EMC PHX CTH TXP,Transplant,No,,
10501207,EMC TELEMEDICINE,,No,,
10900000,OR SCHED - DO NOT USE,,No,,
10999100,EHS BUSINESS OFFICE,,No,,
21200003,CC FAMILY PRAC,Family Medicine,No,,
21501001,SNT FAMILY MEDICINE,Family Medicine,No,,
21501002,SNT ALLERGY,Allergy,No,,
21501003,SNT BARIATRIC SURGERY,Bariatrics,No,,
21501004,SNT BURN,Burn Surgery,No,,
21501005,SNT CARDIOLOGY,Cardiology,No,,
21501006,SNT CARDIOTHORACIC SRG,Cardiothoracic Surgery,No,,
21501007,SNT DERMATOLOGY,Dermatology,No,,
21501008,SNT ENDOCRINOLOGY,Allergy,No,,
21501009,SNT ENT-OTOLARYNGOLOGY,Otolaryngology,No,,
21501010,SNT GERONTOLOGY,Gerontology,No,,
21501011,SNT GASTROENTEROLOGY,Gastroenterology,No,,
21501012,SNT INTERNAL MEDICINE,Allergy,No,,
21501013,SNT INFECTIOUS DISEASE,Infectious Diseases,No,,
21501014,SNT NEONATOLOGY,Neonatology,No,,
21501015,SNT NEUROLOGY,Neurology,No,,
21501016,SNT NEUROSURGERY,Neurosurgery,No,,
21501017,SNT OBS AND GYNECOLOGY,Gynecology,No,,
21501018,SNT ONCOLOGY,Medical Oncology,No,,
21501019,SNT OPHTHALMOLOGY,Ophthalmology,No,,
21501020,SNT ORTHOPEDICS,Orthopedics,No,,
21501021,SNT OCCUP THERAPY,Occupational Therapy,No,,
21501022,SNT PEDIATRICS,Pediatrics,No,,
21501023,SNT PLASTIC SURGERY,Plastic Surgery,No,,
21501024,SNT PHYS MED & REHAB,Physical Medicine and Rehabilitation,No,,
21501025,SNT PSYCHIATRY,Psychiatry,No,,
21501026,SNT PHYSICAL THERAPY,Physical Therapy,No,,
21501027,SNT PATHOLOGY,Pathology,No,,
21501028,SNT PULMONARY,Pulmonology,No,,
21501029,SNT RADIATION ONCOLOGY,Radiation Oncology,No,,
21501030,SNT NEPHROLOGY,Nephrology,No,,
21501031,SNT RHEUMATOLOGY,Rheumatology,No,,
21501032,SNT SPORTS MEDICINE,Sports Medicine,No,,
21501033,SNT SPEECH PATHOLOGY,Speech Therapy,No,,
21501034,SNT GENERAL SURGERY,General Surgery,No,,
21501035,SNT TRANSPLANT,Transplant,No,,
21501036,SNT URGENT CARE,Urgent Care,No,,
21501037,SNT UROLOGY,Urology,No,,
21501038,SNT VASCULAR SURGERY,Vascular Surgery,No,,
30101101,EHS COMMUNITY PRACTICE,Family Medicine,No,,
98010001,CH ROI DEPT,,No,,
98101100,CH EMERGENCY,Emergency Medicine,No,,
98101101,CH LABOR & DELIVERY,Obstetrics and Gynecology,No,,
98101102,CH MED SURG,,No,,
98101103,CH PSYCHIATRY,Psychiatry,No,,
98101104,CH REHAB,Physical Medicine and Rehabilitation,No,,
98101105,CH IP PHARMACY,Pharmacy,No,,
98101106,CH HOSPITAL LAB,Lab,No,,
98101107,CH HEALTH INFO MGMT,,No,,
98101108,CH RESP THERAPY,Respiratory Therapy,No,,
98101109,CH NUTRITION,Nutrition,No,,
98101110,CH CARDIAC REHAB,Cardiology,No,,
98101111,CH SLEEP LAB,Sleep Medicine,No,,
98101112,CH PHYSICAL THERAPY,Physical Therapy,No,,
98101113,CH OCC THERAPY,Occupational Therapy,No,,
98101114,CH PATIENT ACCESS,,No,,
98101115,CH BILLING,,No,,
98101116,CH INFUSION THERAPY,Infusion Therapy,No,,
98101117,CH SPEECH PATHOLOGY,Speech Therapy,No,,
98101118,CH CT IMAGING,Radiology,No,,
98101119,CH MRI IMAGING,Radiology,No,,
98101120,CH US IMAGING,Radiology,No,,
98101121,CH BREAST IMAGING,Radiology,No,,
98101122,CH NUCLEAR MEDICINE,Radiology,No,,
98101123,CH XRAY IMAGING,Radiology,No,,
98101124,CH IR IMAGING,Radiology,No,,
98101125,CH PERIOP SERVICES,General Surgery,No,,
98101126,CH CASE MANAGEMENT,Social Services,No,,
99000001,SBO BUSINESS OFFICE,,No,,
99101100,SBOH MED SURG,,No,,
99101101,SBOH PHYSICAL THERAPY,Physical Therapy,No,,
99102100,SBOC FAMILY PRACTICE,Family Medicine,No,,
1000000001,PHS EMPI,,No,,
1000000002,PEC AMB GI,Gastroenterology,No,,
1000000003,PEC AMB INTERNAL MED,Internal Medicine,No,,
1000000004,PEC AMB FAMILY MED,Family Medicine,No,,
1000000005,PEC AMB PEDIATRIC PRIM,Pediatrics,No,,
1000000006,PEC AMB ID,Infectious Diseases,No,,
1000000007,PEC AMB ALLERGY& IMMUN,Allergy,No,,
1000000008,PEC AMB PULMONARY,Pulmonology,No,,
1000000009,PEC AMB UROLOGY,Urology,No,,
1000000010,PEC AMB DERMATOLOGY,Dermatology,No,,
1000000011,PEC AMB RHEUMATOLOGY,Rheumatology,No,,
1000000012,PEC AMB GERIATRICS,Gerontology,No,,
1000000013,PEC AMB COLORECT SURG,Colon and Rectal Surgery,No,,
1000000014,PEC AMB PLASTIC SURG,Plastic Surgery,No,,
1000000015,PEC AMB BARIATRICS,Bariatrics,No,,
1000000016,PEC AMB GENERAL SURG,General Surgery,No,,
1000000017,PEC AMB OBSTETRICS,Obstetrics and Gynecology,No,,
1000000018,PEC AMB GYNECOLOGY,Obstetrics and Gynecology,No,,
1000000019,PEC AMB PSYCHIATRY,Psychiatry,No,,
1000000020,PEC AMB PSYCH GERIATR,Psychiatry,No,,
1000000021,PEC AMB ORTHOPEDICS,Orthopedics,No,,
1000000022,PEC AMB SPORTS MED,Sports Medicine,No,,
1000000023,PEC AMB HAND SURGERY,Hand Surgery,No,,
1000000024,PEC AMB BREAST ONC,Breast Oncology,No,,
1000000025,PEC AMB CARDIOLOGY,Cardiology,No,,
1000000026,PEC AMB CARDIAC SURG,Cardiac Surgery,No,,
1000000027,PEC AMB HEMONC,Medical Oncology,No,,
1000000028,PEC AMB HEMATOLOGY,Medical Oncology,No,,
1000000029,PEC AMB ORALMAX SURG,Oral and Maxillofacial Surgery,No,,
1000000030,PEC AMB ENT,Otolaryngology,No,,
1000000031,PEC AMB OPHTHAL,Ophthalmology,No,,
1000000032,PEC AMB OPHTH COMPREH,Ophthalmology,No,,
1000000033,PEC AMB OPHTH CONTACTS,Optometry,No,,
1000000034,PEC AMB OPHTH CORNEA,Cornea Ophthalmology,No,,
1000000035,PEC AMB OPHTH GLAUC,Glaucoma Ophthalmology,No,,
1000000036,PEC AMB OPHTH NEUROOP,Neuro-Ophthalmology,No,,
1000000037,PEC AMB OPHTH OCUPLAS,Oculoplastics Ophthalmology,No,,
1000000038,PEC AMB OPHTH RETINA,Retina Ophthalmology,No,,
1000000039,PEC AMB OPHTH EMERG,Ophthalmology,No,,
1000000040,PEC AMB OPHTH PEDI,Pediatric Ophthalmology,No,,
1000000041,PEC AMB OPHTH TRAUMA,Trauma Ophthalmology,No,,
1000000042,PEC AMB OPHTH VISN REH,Vision Rehab,No,,
1000000043,PEC AMH OPHTH OCULRONC,Ophthalmology,No,,
1000000044,PEC AMB OPHTH UVEITIS,Uveitis and Ocular Immunology,No,,
1000000045,PEC AMB OPHTH RETDEGEN,Retinal Degeneration Ophthalmology,No,,
1000000046,PEC AMB NEUROLOGY,Neurology,No,,
1000000047,PEC AMB NEUROSURGERY,Neurosurgery,No,,
1000000048,PEC AMB VASC SURG,Vascular Surgery,No,,
1000000049,PEC AMB THORACIC SURG,Thoracic Surgery,No,,
1000000050,PEC AMB NEPHROLOGY,Nephrology,No,,
1000000051,PEC AMB PAIN MGMT,Pain Medicine,No,,
1000000052,PEC AMB MEDONC,Medical Oncology,No,,
1000000053,PEC AMB GI ONC,Gastrointestinal Oncology,No,,
1000000054,PEC AMB ENDOCRINE,Endocrinology,No,,
1000000055,PEC AMB MELANOMA,Melanoma Oncology,No,,
1000000056,PEC AMB LEUKEMIA,Leukemia,No,,
1000000057,PEC AMB RADONC,Radiation Oncology,No,,
1000000058,PEC AMB PODIATRY,Podiatry,No,,
1000000059,PEC AMB WELLNESS,Wellness,No,,
1000000060,PEC AMB PT,Physical Therapy,No,,
1000000061,PEC AMB OT,Occupational Therapy,No,,
1000000062,PEC AMB SLP,Speech Therapy,No,,
1000000063,PEC AMB TRANSPLANT,Transplant,No,,
1000000064,PEC AMB TRANSPLANT PED,Transplant,No,,
1000000065,PEC AMB PEDI ALLERGY,Pediatric Allergy,No,,
1000000066,PEC AMB PEDI ENDO,Pediatric Endocrinology,No,,
1000000067,PEC AMB PEDI NEURO,Pediatric Neurology,No,,
1000000068,PEC AMB PEDI CARD,Pediatric Cardiology,No,,
1000000069,PEC AMB PEDI PSYCH,Child and Adolescent Psychiatry,No,,
1000000070,PEC AMB PEDI UROLOGY,Pediatric Urology,No,,
1000000071,PEC AMB PEDI SURGERY,Pediatric Surgery,No,,
1000000072,PEC AMB PEDI NEPH,Pediatric Nephrology,No,,
1000000073,PEC AMB PEDI RHEUM,Pediatric Rheumatology,No,,
1000000074,PEC AMB PEDI ENT,Pediatric Otolaryngology,No,,
1000000075,PEC AMB PEDI PULM,Pediatric Pulmonology,No,,
1000000076,PEC AMB PEDI GI,Pediatric Gastroenterology,No,,
1000000077,PEC AMB PEDI HEMONC,Pediatric Oncology,No,,
1000000078,PEC AMB WOUND,Wound Care,No,,
1000000079,PEC AMB CARD REHAB,Cardiac Rehabilitation,No,,
1000000080,PEC AMB PEDI ID,Pediatric Infectious Disease,No,,
1000000081,PEC AMB REPROD ENDO,Reproductive Endocrinology and Infertility,No,,
1000000082,PEC AMB BMT,Bone Marrow Transplant,No,,
1000000083,PEC AMB GENETICS,Genetics,No,,
1000000084,PEC AMB PALLIATIVE,Hospice and Palliative Medicine,No,,
1000000085,PEC AMB LYMPHOMA,Lymphoma,No,,
1000000086,PEC AMB INT RAD,Interventional Radiology,No,,
1000000087,PEC AMB BWH ALG IMMUN,Allergy,No,,
1000000088,PEC AMB PRIV PRAC,Internal Medicine,No,,
1000000089,PEC AMB AMBULATORY,Family Medicine,No,,
1000000090,PEC AMB PULM REHAB,Pulmonary Rehabilitation,No,,
1000000091,PEC AMB DENTISTRY,Dentistry,No,,
1000000092,PEC MG CALL CENTER,,No,,
1000000093,PEC NSM CALL CENTER,,No,,
1000000094,PEC AMB CAST CLINIC,Cast Clinic,No,,
1000000095,PEC AMB GYN ONC,Gynecologic Oncology,No,,
1000000096,PEC AMB HEAD NECK ONC,Head and Neck Oncology,No,,
1000000097,PEC AMB GU ONC,Genitourinary Oncology,No,,
1000000098,PEC AMB SURGICAL ONC,Medical Oncology,No,,
1000000099,PEC AMB SARCOMA,Sarcoma and Bone Oncology,No,,
